"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Reqres Auth API","0","Authentication","1","0","Login fallido","0"
"0","Reqres Auth API","0","Authentication","2","0","Login de usuario","0"
"0","Reqres Auth API","0","Authentication","2","0","Registro de usuario","0"
"0","Reqres Auth API","0","Authentication","1","0","Registro de usuario fallido","0"
"0","Reqres User API","1","Idempotencia","0","0","Verificar idempotencia en DELETE","0"
"0","Reqres User API","1","Pruebas Negativas","0","0","Crear usuario con body vacío","0"
"0","Reqres User API","0","User Retrieval","1","0","Obtener usuario por ID","0"
"0","Reqres User API","0","Validación de Schemas","1","0","Validación de esquema JSON","0"
"0","Reqres User API","0","User Management","1","0","Crear usuario","0"
"0","Reqres User API","0","Pruebas Negativas","1","0","Usuario inexistente","0"
"0","Reqres User API","0","User Retrieval","1","0","Listar usuarios","0"
"0","Reqres User API","0","Idempotencia","1","0","Verificar idempotencia en GET","0"
"0","Reqres User API","0","Performance","1","0","Validar tiempo de respuesta","0"
"0","Reqres User API","0","User Management","1","0","Borrar usuario","0"
"0","Reqres User API","1","Pruebas Negativas","0","0","Actualizar usuario con campos inválidos","0"
"0","Reqres User API","0","User Management","1","0","Actualizar usuario","0"
